title,link,image,price,pistol_grip,stripped_lower,stock,buffer_tube_assembly,trigger,stripped_upper,barrel,handguard,gas_tube,gas_block,bolt_carrier_group,charging_handle
Geissele Super Tricon (Super T) Trigger ‒ 05-230,https://palmettostatearmory.com/geissele-super-tricon-super-t-trigger-05-230.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/s/u/super-tricon-trigger-pi-2.jpg,$299.99,False,False,False,False,True,False,False,False,False,False,False,False
"Timney Triggers AR-15 3 lbs. Competition Trigger, Straight - 667S-ST",https://palmettostatearmory.com/timney-triggers-ar-15-3-lbs-competition-trigger-straight-667s-st.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165451292-Timney-AR-15-Competition-Trigger-3lbs-667S-ST-v2.jpg,$199.99,False,False,False,False,True,False,False,False,False,False,False,False
CMC AR9mm Single Stage 3.5 lb Curved Trigger - 95501,https://palmettostatearmory.com/cmc-triggers-ar-9-single-stage-curved-trigger-3-5lb-matte-black-95501.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/C/M/CMC-95501-AR-Trigger.jpg,$199.99,False,False,False,False,True,False,False,False,False,False,False,False
"Timney Triggers AR Targa 2-Stage Short Trigger, Straight - 662S-ST",https://palmettostatearmory.com/timney-triggers-ar-targa-2-stage-short-trigger-straight-662s-st.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165451298-Timney-Triggers-Targa-2-Stage-Straight-662S-ST.jpg,$199.99,False,False,False,False,True,False,False,False,False,False,False,False
Timney AR PCC Single Stage 2.5-3.0 lbs. Straight Bow Trigger - 681-ST,https://palmettostatearmory.com/timney-ar-pcc-single-stage-2-5-3-0-lbs-straight-bow-trigger-681-st.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/5/1/5165451304-681-ST.jpg,$199.99,False,False,False,False,True,False,False,False,False,False,False,False
"CMC Triggers AR-15 Match Grade Two-Stage Flat Trigger, Matte Black (1LB/3LB) - 91504",https://palmettostatearmory.com/cmc-triggers-ar-15-two-stage-flat-trigger-1lb-3lb-matte-black-91504.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/6/0/60703.jpg,$269.99,False,False,False,False,True,False,False,False,False,False,False,False
Hiperfire HIPERTOUCH Genesis AR15 Trigger Assembly - HPTG,https://palmettostatearmory.com/hiperfire-hipertouch-genesis-ar15-trigger-assembly-hptg.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/h/i/hiperfire_genesis.jpg,$249.99,False,False,False,False,True,False,False,False,False,False,False,False
"CMC Triggers Duty Patrol  Single-Stage Curved Trigger, Matte Black (5.5lb) - 93501",https://palmettostatearmory.com/cmc-triggers-duty-patrol-single-stage-curved-trigger-matte-black-5-5lb-93501.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/6/0/60700.jpg,$169.99,False,False,False,False,True,False,False,False,False,False,False,False
"CMC Triggers AR-15 Match Grade Two Stage Curved Trigger 1LB/3LB, Matte Black - 91502",https://palmettostatearmory.com/cmc-triggers-ar-15-two-staged-curved-trigger-1lb-3lb-matte-black-91502.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/6/0/60702.jpg,$269.99,False,False,False,False,True,False,False,False,False,False,False,False
3 Pack of BLEM PSA AR-15 Safe/Fire Lowers,https://palmettostatearmory.com/3-pack-of-blem-psa-ar-15-lower-safe-fire.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/k/i/kit-0428_1.jpg,$159.99,False,True,False,False,False,False,False,False,False,False,False,False
3 Pack of BLEM PSA Stealth AR-15 Lowers,https://palmettostatearmory.com/3-pack-of-blem-psa-stealth-ar-15-lowers.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/3/9/39296-trio_1.jpg,$159.99,False,True,False,False,False,False,False,False,False,False,False,False
"PSA AR-15 ""Stealth"" Stripped Lower Receiver",https://palmettostatearmory.com/psa-stealth-lower.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/7/a/7a4a7701.jpg,$69.99,False,True,False,False,False,False,False,False,False,False,False,False
"PSA AR-15 Blem ""Stealth"" Stripped Lower Receiver",https://palmettostatearmory.com/black-friday-sales/lowers/pa-15/psa-ar-15-blem-stealth-stripped-lower-receiver.html,https://palmettostatearmory.com/media/catalog/product/cache/152980d312fe5b5cdae0fdd9913a70b7/7/a/7a4a7701_1.jpg,$59.99,False,True,False,False,False,False,False,False,False,False,False,False
